entity,entity_code,is_aggregate_entity,date,series,is_aggregate_series,generation_twh,generation_share_pct,generation_kwh_per_capita,generation_yoy_change_twh,generation_yoy_change_pct,generation_share_yoy_change_pct_points,generation_yoy_change_kwh_per_capita
"World",,true,"2000","Bioenergy",false,154.44,1.01,25.03,,,,
"World",,true,"2000","Coal",false,5808.81,38.02,941.36,,,,
"World",,true,"2000","Gas",false,2745.57,17.97,444.94,,,,
"World",,true,"2000","Hydro",false,2629.63,17.21,426.15,,,,
"World",,true,"2000","Nuclear",false,2540.46,16.63,411.7,,,,
"World",,true,"2000","Other fossil",false,1323.96,8.67,214.56,,,,
"World",,true,"2000","Other renewables",false,43.65,0.29,7.07,,,,
"World",,true,"2000","Solar",false,1.03,0.01,0.17,,,,
"World",,true,"2000","Total generation",true,15278.69,100,2476.03,,,,
"World",,true,"2000","Wind",false,31.14,0.2,5.05,,,,
"World",,true,"2001","Bioenergy",false,149.72,0.97,23.94,-4.72,-3.06,-0.04,-0.75
"World",,true,"2001","Coal",false,5890.67,38,941.92,81.86,1.41,-0.02,13.09
"World",,true,"2001","Gas",false,2914.78,18.8,466.08,169.21,6.16,0.83,27.06
"World",,true,"2001","Hydro",false,2563.66,16.54,409.93,-65.97,-2.51,-0.67,-10.55
"World",,true,"2001","Nuclear",false,2613.17,16.86,417.85,72.71,2.86,0.23,11.63
"World",,true,"2001","Other fossil",false,1284.72,8.29,205.43,-39.24,-2.96,-0.38,-6.27
"World",,true,"2001","Other renewables",false,44.15,0.28,7.06,0.5,1.15,-0.01,0.08
"World",,true,"2001","Solar",false,1.37,0.01,0.22,0.34,33.01,0,0.05
"World",,true,"2001","Total generation",true,15500.42,100,2478.53,221.73,1.45,0,35.45
"World",,true,"2001","Wind",false,38.18,0.25,6.11,7.04,22.61,0.05,1.13
"World",,true,"2002","Bioenergy",false,162.96,1.02,25.72,13.24,8.84,0.05,2.09
"World",,true,"2002","Coal",false,6144.3,38.28,969.64,253.63,4.31,0.28,40.03
"World",,true,"2002","Gas",false,3104.81,19.35,489.98,190.03,6.52,0.55,29.99
"World",,true,"2002","Hydro",false,2611.51,16.27,412.13,47.85,1.87,-0.27,7.55
"World",,true,"2002","Nuclear",false,2654.78,16.54,418.96,41.61,1.59,-0.32,6.57
"World",,true,"2002","Other fossil",false,1271.49,7.92,200.66,-13.23,-1.03,-0.37,-2.09
