ISO,Country,Data source,Sector,Gas,Unit,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
WORLD,World,Climate Watch,Total including LULUCF,All GHG,MtCO₂e,50762.17,49721.22,49303.7,46960.68,49204.02,48807.65,47734.66,47005.93,47042.84,47175.41,46535.89,45846.43,45335.0,44589.6,42803.05,42862.53,42615.54,41842.92,40362.46,39406.27,37558.07,36548.69,35575.33,37101.75,36442.97,36446.53,36949.22,35565.74,35177.06,34376.89,34110.82,33936.65,33996.57,33848.45
CHN,China,Climate Watch,Total including LULUCF,All GHG,MtCO₂e,13152.05,12651.27,12665.78,12084.55,11915.69,11662.12,11189.72,10955.02,11103.35,11261.76,11203.99,10726.06,10448.79,9957.4,9132.32,8566.97,8322.11,7730.97,7064.37,6289.78,5527.75,4860.56,4569.22,4373.18,4205.69,4273.31,4165.95,4176.41,4160.85,3760.64,3589.0,3345.69,3203.97,3057.24
USA,United States,Climate Watch,Total including LULUCF,All GHG,MtCO₂e,5434.18,5638.18,5563.7,5022.89,5577.45,5693.3,5459.13,5505.43,5468.96,5569.47,5510.43,5360.78,5575.75,5735.33,5461.86,5878.45,6058.06,5950.89,6037.3,6016.5,5932.45,5864.35,6016.75,6125.97,5962.75,5960.39,5913.7,5653.91,5483.14,5416.12,5321.08,5210.92,5128.4,5175.02
IND,India,Climate Watch,Total including LULUCF,All GHG,MtCO₂e,3971.69,3705.43,3459.88,3234.51,3403.75,3398.94,3281.08,3159.72,3180.52,3141.61,2954.35,2886.08,2731.4,2683.66,2566.61,2452.76,2337.97,2191.42,2092.83,2021.58,1932.3,1889.45,1870.82,1623.33,1583.36,1500.94,1471.16,1410.84,1362.25,1293.14,1243.86,1208.71,1185.12,1130.44
EUU,European Union (27),Climate Watch,Total including LULUCF,All GHG,MtCO₂e,3126.39,3358.17,3429.66,3062.11,3336.64,3484.46,3569.89,3550.41,3363.88,3311.53,3462.28,3545.29,3608.01,3716.28,3635.51,3905.19,3998.05,4037.32,4038.87,4066.29,4068.1,3978.96,3997.94,3960.87,3962.71,4042.66,4085.73,4163.74,4056.89,4004.67,4016.52,4095.97,4238.66,4307.75
BRA,Brazil,Climate Watch,Total including LULUCF,All GHG,MtCO₂e,2125.32,2108.01,2109.87,1808.26,1804.39,1781.34,1821.51,1796.51,1447.91,1461.37,1422.01,1396.62,1351.24,2059.76,1951.15,1977.59,1977.35,1937.79,1949.65,1932.06,1882.24,1866.27,1826.26,2310.71,2308.89,2297.72,2261.35,2229.62,2227.89,2201.06,2184.14,2173.85,2163.61,2142.07
IDN,Indonesia,Climate Watch,Total including LULUCF,All GHG,MtCO₂e,1570.53,1283.85,1235.21,1027.62,1445.66,1200.19,951.96,940.71,1777.0,1730.24,1371.06,1379.27,1338.69,804.84,1212.27,804.58,822.67,1398.77,967.06,1250.52,895.15,1241.61,745.2,1918.53,1999.55,2113.08,2904.99,1905.79,2049.95,2013.01,1990.03,1971.34,1946.39,1924.52
RUS,Russia,Climate Watch,Total including LULUCF,All GHG,MtCO₂e,1317.93,1272.42,1288.63,1406.62,1483.94,1485.67,1394.14,1349.21,1279.11,1312.0,1319.05,1364.6,1382.13,1055.57,985.64,1113.99,1120.19,1110.62,1082.29,1051.42,1059.44,985.55,992.43,1099.93,1039.47,1013.96,1004.25,1149.42,1194.39,1269.69,1495.13,1680.17,1845.99,1906.34
IRN,Iran,Climate Watch,Total including LULUCF,All GHG,MtCO₂e,1046.61,1001.54,979.19,918.61,901.53,864.44,873.17,842.02,801.56,804.41,781.27,760.29,761.74,747.69,743.44,722.33,715.85,685.8,645.87,606.5,571.5,534.13,521.28,510.73,482.18,448.36,448.14,430.6,414.8,405.68,366.3,359.03,338.3,310.74
JPN,Japan,Climate Watch,Total including LULUCF,All GHG,MtCO₂e,1034.23,1078.94,1103.63,1051.64,1108.04,1143.6,1182.19,1194.46,1192.92,1229.8,1277.24,1261.88,1218.87,1078.37,1021.43,1080.71,1150.98,1117.42,1137.59,1131.07,1145.56,1139.97,1113.88,1217.51,1207.15,1181.21,1232.94,1248.02,1235.0,1213.84,1153.47,1158.16,1144.21,1126.53
